Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2020-01-01,0,31632.592184,30868.050893,764.541291,0.0,0.0,0.0,1749.530156,61.769844,3289.530156,9.616143
2020-01-01,1,31614.018395,30868.050893,745.967502,0.0,0.0,0.0,1658.859856,142.380144,3197.859856,9.885992
2020-01-01,2,31614.018395,30868.050893,745.967502,0.0,0.0,0.0,1619.70306,189.75894,3158.70306,10.008544
2020-01-01,3,31614.018395,30868.050893,745.967502,0.0,0.0,0.0,1608.837413,128.098587,3147.837413,10.043091
2020-01-01,4,31614.018395,30868.050893,745.967502,0.0,0.0,0.0,1678.204182,95.459818,3217.204182,9.82655
2020-01-01,5,31632.592184,30868.050893,764.541291,0.0,0.0,0.0,1781.698,0.0,3410.536426,9.274961
2020-01-01,6,31688.313551,30868.050893,820.262658,0.0,0.0,0.0,1752.296,0.0,3737.780287,8.477843
2020-01-01,7,32559.317096,30868.050893,1691.266203,0.0,0.0,0.0,1799.7,0.0,3869.312975,8.414754
2020-01-01,8,31818.617303,30868.050893,950.56641,0.0,0.0,0.0,1928.335304,783.766696,3873.511843,8.214411
2020-01-01,9,31988.366472,30868.050893,1120.315579,0.0,0.0,0.0,2366.476278,756.191722,3925.476278,8.148913
2020-01-01,10,32120.393604,30868.050893,1252.342711,0.0,0.0,0.0,2363.035993,895.566007,3929.035993,8.175133
2020-01-01,11,32158.115641,30868.050893,1290.064748,0.0,0.0,0.0,2347.54527,494.78473,3915.54527,8.212934
2020-01-01,12,34007.45684,30868.050893,3139.405947,0.0,0.0,0.0,2215.838,0.0,3889.288527,8.743876
2020-01-01,13,36627.977624,30868.050893,5759.926731,0.0,0.0,0.0,2063.03,0.0,3873.95547,9.45493
2020-01-01,14,98516.923905,96634.604418,1882.319487,0.0,0.0,0.0,1893.2,0.0,3839.064644,25.6617
2020-01-01,15,107021.950728,105958.218205,1063.732523,0.0,0.0,0.0,1579.635557,151.796443,3815.635557,28.048263
2020-01-01,16,57808.740089,49864.856161,7943.883928,0.0,0.0,0.0,1226.886,0.0,3828.469495,15.0997
2020-01-01,17,81213.468036,54505.734109,26707.733927,0.0,0.0,0.0,873.954,0.0,4287.21599,18.943172
2020-01-01,18,79084.513215,50950.611715,28133.9015,0.0,0.0,0.0,857.898,0.0,4509.687641,17.536583
2020-01-01,19,75765.006835,49864.856161,25900.150674,0.0,0.0,0.0,852.938,0.0,4371.175585,17.332867
2020-01-01,20,69031.893097,45089.056541,23942.836556,0.0,0.0,0.0,1010.432,0.0,4260.187276,16.203957
2020-01-01,21,60497.125288,45089.056541,15408.068747,0.0,0.0,0.0,1160.768,0.0,4026.536311,15.024607
2020-01-01,22,58489.3361,35415.86506,23073.47104,0.0,0.0,0.0,1004.23,0.0,3740.556996,15.636531
2020-01-01,23,49028.579057,35415.86506,13612.713997,0.0,0.0,0.0,1105.338,0.0,3471.36041,14.123736
2020-01-02,0,41038.343465,30643.369577,10394.973888,0.0,0.0,0.0,1239.202,0.0,3281.963116,12.504206
2020-01-02,1,44879.225639,30643.369577,14235.856062,0.0,0.0,0.0,954.668,0.0,3179.923281,14.113305
2020-01-02,2,45125.58869,30643.369577,14482.219113,0.0,0.0,0.0,901.232,0.0,3137.959876,14.38055
2020-01-02,3,46395.696791,30643.369577,15752.327214,0.0,0.0,0.0,820.868,0.0,3116.389409,14.887644
2020-01-02,4,44694.933667,30643.369577,14051.56409,0.0,0.0,0.0,951.632,0.0,3168.269166,14.107051
2020-01-02,5,38522.978044,30643.369577,7879.608467,0.0,0.0,0.0,1419.27,0.0,3337.637076,11.541991
2020-01-02,6,43183.811681,30643.369577,12540.442104,0.0,0.0,0.0,1508.12,0.0,3653.66423,11.819316
2020-01-02,7,44410.997986,25268.49279,19142.505197,0.0,0.0,326.047853,1515.718,0.0,3763.106829,11.801684
2020-01-02,8,27175.686101,25268.49279,1907.193311,0.0,0.0,0.0,2372.452,0.0,3777.710915,7.193691
2020-01-02,9,26786.801083,25268.49279,1518.308293,0.0,0.0,0.0,2467.836877,494.113123,3847.836877,6.961522
2020-01-02,10,26520.835501,25268.49279,1252.342711,0.0,0.0,0.0,2520.240377,882.425623,3886.240377,6.824291
2020-01-02,11,26539.696519,25268.49279,1271.203729,0.0,0.0,0.0,2561.113167,946.524833,3928.113167,6.756347
2020-01-02,12,26558.557538,25268.49279,1290.064748,0.0,0.0,0.0,2555.720064,879.617936,3923.720064,6.768719
2020-01-02,13,26577.418557,25268.49279,1308.925767,0.0,0.0,0.0,2571.707021,701.122979,3940.707021,6.744327
2020-01-02,14,26577.418557,25268.49279,1308.925767,0.0,0.0,0.0,2581.538029,632.691971,3950.538029,6.727544
