,wind_mw,wind_mw_ub,batt_mw,pem_mw,pem_bar,pem_temp,tank_size,tank_type,turb_mw,h2_price_per_kg,annual_rev_h2,annual_rev_E,NPV
0,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.0,0.0,-17491790.341902725,-196918785.95255074
1,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.0,32737480.01481789,-32133572.203474224,-247301336.700679
2,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.0,52478784.87726478,-41384260.68140297,-383300250.3078796
3,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.0,65979499.099669926,-49097998.671207376,-572251725.6695607
4,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.0,72976670.64520636,-56700131.36813493,-833162247.2428014
5,847.0,10000,0.0,26.400000000000002,1.01325,300,0,simple,1,2.0,6090198.637785204,-20295516.67827246,-191600392.82002696
6,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.25,0.0,-17491790.341902725,-196918785.95255074
7,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.25,36838287.52740309,-32141784.501743257,-201227786.46678153
8,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.25,59055878.00774227,-41400685.27794102,-309441665.36674345
9,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.25,74248550.79023881,-49118584.68264163,-479392286.1406122
10,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.25,82120368.77896993,-56720717.3795692,-730456227.5544796
11,847.0,10000,0.0,78.9,1.01325,300,0,simple,1,2.25,17030678.045308992,-24323716.21638757,-176783443.64321056
12,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.5,0.0,-17491790.341902725,-196918785.95255074
13,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.5,40941011.15348276,-32151160.501608733,-155145765.74274302
14,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.5,65636803.36506721,-41419437.27767197,-235566139.44696093
15,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.5,82522002.98159477,-49141693.69954736,-386511710.17620194
16,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.5,91268467.41351789,-56743826.39647493,-627729071.4307355
17,847.0,10000,0.0,141.6,1.01325,300,0,simple,1,2.5,30167870.06383114,-28313948.49055768,-149048952.59286708
18,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.75,0.0,-17491790.341902725,-196918785.95255074
19,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.75,45045650.89305892,-32161150.943944924,-109049091.08833647
20,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.75,72221560.94924222,-41439418.162344344,-161661305.66802663
21,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.75,90799928.97056863,-49166081.23033166,-293595162.39974445
22,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.75,100421039.8456805,-56768213.92725925,-524965943.4950408
23,847.0,10000,0.0,209.1,1.01325,300,0,simple,1,2.75,44628268.8592043,-32024826.400204208,-109033175.419103
24,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,3.0,0.0,-17491790.341902725,-196918785.95255074
25,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,3.0,49152206.74612951,-32171953.527044974,-62939988.14809579
26,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,3.0,78810150.76025777,-41461225.51110417,-87733891.44640362
27,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,3.0,99140827.45242934,-49251154.29872046,-200652868.57613075
28,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,3.0,109636584.77073383,-56853269.367226444,-422176871.0553092
29,847.0,10000,0.0,261.4,1.01325,300,0,simple,1,3.0,57224831.50495912,-34615852.058913305,-59153007.787204474
