,wind_mw,wind_mw_ub,batt_mw,pem_mw,pem_bar,pem_temp,tank_size,tank_type,turb_mw,h2_price_per_kg,annual_rev_h2,annual_rev_E,NPV
0,10000.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.0,0.0,15629368.407019256,240261700.41801342
1,10000.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.0,30510106.460452966,-3071318.4776434763,76648924.50276953
2,10000.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.0,48832485.941357,-16499983.913983922,-193275196.00762117
3,10000.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.0,61473146.86088105,-28228857.291583348,-524411286.6725019
4,10000.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.0,68169944.98486683,-39014137.76922212,-932413781.428267
5,847.0,10000,0.0,5.900000000000001,1.01325,300,0,simple,1,2.0,1583007.4592625338,14740786.786180327,241319727.61101642
6,10000.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.25,0.0,15629368.407019256,240261700.41801342
7,10000.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.25,35103216.47010275,-3675596.332352927,137967051.45903742
8,10000.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.25,56002512.97274181,-17324221.07174035,-95724851.9483726
9,10000.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.25,70366693.55126588,-29162360.092849355,-402045901.81512797
10,10000.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.25,77958344.9566032,-39991744.013321,-796970286.3421735
11,847.0,10000,0.0,18.7,1.01325,300,0,simple,1,2.25,4934885.839507766,13092401.61476582,246642593.53837085
12,10000.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.5,0.0,15629368.407019256,240261700.41801342
13,10000.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.5,39331102.57858015,-3939529.8585524913,198902718.40297937
14,10000.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.5,62659164.56004014,-17673463.414678477,1235487.7670707703
15,10000.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.5,78683182.86727072,-29563004.455957565,-280359962.9403517
16,10000.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.5,87129485.81872448,-40401457.30997783,-662285670.166509
17,847.0,10000,0.0,52.0,1.01325,300,0,simple,1,2.5,13024852.760757584,9447827.571224159,260700177.84616387
18,10000.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.75,0.0,15629368.407019256,240261700.41801342
19,10000.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.75,43469376.33439629,-4107534.508031376,259935485.8036996
20,10000.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.75,69251760.94818056,-17941342.522094984,98461894.42387104
21,10000.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.75,86945026.07415445,-29886298.000673972,-158324997.03423858
22,10000.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.75,96262108.04884727,-40746943.44716697,-527205850.9113338
23,847.0,10000,0.0,99.3,1.01325,300,0,simple,1,2.75,24356992.75979523,4914797.493080723,288120162.13151693
24,10000.0,10000,0.0,0.0,1.01325,300,0,simple,1,3.0,0.0,15629368.407019256,240261700.41801342
25,10000.0,10000,0.0,211.75,1.01325,300,0,simple,1,3.0,47714956.06566102,-4354833.866654964,321398855.023888
26,10000.0,10000,0.0,423.5,1.01325,300,0,simple,1,3.0,76025469.19853094,-18344397.234457113,196394453.94581985
27,10000.0,10000,0.0,635.25,1.01325,300,0,simple,1,3.0,95419805.36784148,-30366911.153370325,-35435069.53104949
28,10000.0,10000,0.0,847.0,1.01325,300,0,simple,1,3.0,105608039.18219493,-41248041.491783395,-391239087.4138702
29,847.0,10000,0.0,150.69999999999996,1.01325,300,0,simple,1,3.0,37024041.75193453,381753.92749904573,329377762.2036739
