,wind_mw,wind_mw_ub,batt_mw,pem_mw,pem_bar,pem_temp,tank_size,tank_type,turb_mw,h2_price_per_kg,annual_rev_h2,annual_rev_E,NPV
0,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.0,0.0,-10903265.911411922,-122746605.36318286
1,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.0,35719045.41646206,-25478403.659394026,-138813073.80431315
2,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.0,57268044.26720643,-34715407.20829285,-254307298.1745752
3,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.0,72023042.79504259,-42437050.36912093,-429227307.2776242
4,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.0,79670903.81632043,-50039165.43762181,-682812309.2522421
5,847.0,10000,0.0,64.7,1.01325,300,0,simple,1,2.0,14090462.83578094,-16730793.618961783,-107364271.91125065
6,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.25,0.0,-10903265.911411922,-122746605.36318286
7,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.25,40184473.01418141,-25478919.984177966,-88548070.04734936
8,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.25,64427096.7212686,-34715923.53307679,-173718049.37729585
9,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.25,81026470.06508216,-42437566.69390487,-327874486.39843464
10,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.25,89630313.71402003,-50039681.762405746,-570697243.0711176
11,847.0,10000,0.0,129.9,1.01325,300,0,simple,1,2.25,27734987.19808078,-20991379.36970762,-79961924.11718246
12,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.5,0.0,-10903265.911411922,-122746605.36318286
13,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.5,44649414.46020076,-25478919.984177966,-38282726.608281314
14,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.5,71585663.0236297,-34715923.53307679,-93128460.89785796
15,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.5,90029411.18343082,-42437566.69390487,-226521325.8371538
16,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.5,99589237.46002588,-50039681.762405746,-458581837.2079476
17,847.0,10000,0.0,204.0,1.01325,300,0,simple,1,2.5,43436488.20706697,-25082496.12451589,-38174733.65323734
18,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,2.75,0.0,-10903265.911411922,-122746605.36318286
19,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,2.75,49126119.146919526,-25490035.63714307,11989907.23309642
20,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,2.75,78767500.37933056,-34737900.72062196,-12524306.35760951
21,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,2.75,99063210.08901559,-42466704.543680854,-125148802.59235275
22,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,2.75,109579018.99327342,-50068819.61218176,-346447068.66144633
23,847.0,10000,0.0,262.2,1.01325,300,0,simple,1,2.75,57301824.25432589,-27953640.059995547,15755499.173941731
24,847.0,10000,0.0,0.0,1.01325,300,0,simple,1,3.0,0.0,-10903265.911411922,-122746605.36318286
25,847.0,10000,0.0,211.75,1.01325,300,0,simple,1,3.0,53604683.956748426,-25502050.832250286,62273355.08700037
26,847.0,10000,0.0,423.5,1.01325,300,0,simple,1,3.0,85952744.74983022,-34761409.081108,68100966.00384498
27,847.0,10000,0.0,635.25,1.01325,300,0,simple,1,3.0,108093518.97857893,-42490212.904166885,-23752193.62127161
28,847.0,10000,0.0,847.0,1.01325,300,0,simple,1,3.0,119565310.5104937,-50092327.97266782,-234288214.38838756
29,847.0,10000,0.0,322.40000000000003,1.01325,300,0,simple,1,3.0,72027506.50907591,-30658071.03098637,78848141.63978553
