,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,Demand_x,Price,Bus,Demand_y,Shortfall,Overgeneration,LMP,LMP DA,Generator,Output,Output DA,Curtailment,Unit Market Revenue,Unit Uplift Payment,309_WIND_1-RTCF,309_WIND_1-DACF
2020-01-02 00:00:00,40292.546183,22782.19,17510.356183,0.0,0.0,0.0,3364.497797,11.975798,Carter,80.8391,0.0,0.0,23.07,21.288312,309_WIND_1,0.833333,0.1,0.0,19.046831,0.0,0.005619240278714317,0.0006743088334457181
2020-01-02 01:00:00,39739.346034,22782.19,16957.156034,0.0,0.0,0.0,3217.336164,12.35163,Carter,75.467259,0.0,0.0,22.968387,20.419032,309_WIND_1,1.166667,0.8,0.0,24.756968,0.0,0.007866936390200046,0.005394470667565745
2020-01-02 02:00:00,44155.39416,22782.19,21373.20416,0.0,0.0,0.0,3152.36432,14.007072,Carter,72.524444,0.0,0.0,24.617429,19.689677,309_WIND_1,15.208333,2.7,0.0,361.085131,0.0,0.10255113508653627,0.01820633850303439
2020-01-02 03:00:00,44719.871437,22782.19,21937.681437,0.0,0.0,0.0,3119.477639,14.335692,Carter,70.432591,0.0,0.0,24.617429,19.983571,309_WIND_1,19.233333,11.4,0.0,420.649238,0.0,0.12969206563272645,0.07687120701281186
2020-01-02 04:00:00,45738.80169,22782.19,22956.61169,0.0,0.0,0.0,3136.411952,14.583161,Carter,69.446301,0.0,0.0,27.050323,19.983571,309_WIND_1,26.016667,18.3,0.0,574.43768,0.0,0.175432681501461,0.12339851652056641
2020-01-02 05:00:00,38552.037399,22782.19,15769.847399,0.0,0.0,0.0,3243.67507,11.885296,Carter,69.916509,0.0,0.0,22.51634,20.419032,309_WIND_1,23.966667,23.6,0.0,490.145153,0.0,0.16160935041582375,0.15913688469318948
2020-01-02 06:00:00,38466.248875,22782.19,15684.058875,0.0,0.0,0.0,3482.494429,11.045602,Carter,74.065809,0.0,0.0,22.492903,21.843871,309_WIND_1,8.841667,24.6,0.0,182.908559,0.0,0.05962013935715891,0.16587997302764665
2020-01-02 07:00:00,43603.002643,22782.19,20820.812643,0.0,0.0,0.0,3744.435196,11.644748,Carter,82.190089,0.0,0.0,23.657742,23.437857,309_WIND_1,4.475,10.3,0.0,103.603582,0.0,0.03017532029669589,0.06945380984490897
2020-01-02 08:00:00,37442.6282,22782.19,14660.4382,0.0,0.0,0.0,3758.192904,9.962934,Carter,87.114659,0.0,0.0,21.843871,18.072549,309_WIND_1,3.283333,5.6,0.0,50.601307,0.0,0.02213980669813441,0.03776129467296021
2020-01-02 09:00:00,22782.19,22782.19,0.0,0.0,0.0,0.0,3809.008958,5.981133,Carter,93.748034,0.0,0.0,-0.0,-0.0,309_WIND_1,1.0,0.0,0.0,-0.0,0.0,0.006743088334457181,0.02494942683749157
2020-01-02 10:00:00,22782.19,22782.19,0.0,0.0,0.0,0.0,3857.059982,5.906621,Carter,98.759765,0.0,0.0,-0.0,-0.0,309_WIND_1,1.0,0.8,0.0,-0.0,0.0,0.006743088334457181,0.005394470667565745
2020-01-02 11:00:00,22782.19,22782.19,0.0,0.0,0.0,0.0,3897.936544,5.84468,Carter,102.970995,0.0,0.0,-0.0,-0.0,309_WIND_1,0.925,0.0,0.0,-0.0,0.0,0.006237356709372893,0.0
2020-01-02 12:00:00,22782.19,22782.19,0.0,0.0,0.0,0.0,3930.172415,5.796741,Carter,105.858761,0.0,0.0,-0.0,-0.0,309_WIND_1,0.0,0.0,0.891667,-0.0,0.0,0.006012587098224319,0.0
2020-01-02 13:00:00,22782.19,22782.19,0.0,0.0,0.0,0.0,3929.490102,5.797747,Carter,107.095064,0.0,0.0,-0.0,-0.0,309_WIND_1,0.0,0.0,0.775,-0.0,0.0,0.005225893459204316,0.0
2020-01-02 14:00:00,22782.19,22782.19,0.0,0.0,0.0,0.0,3949.023074,5.76907,Carter,108.941491,0.0,0.0,-0.0,-0.0,309_WIND_1,0.0,0.0,0.975,-0.0,0.0,0.006574511126095751,0.0
2020-01-02 15:00:00,22782.19,22782.19,0.0,0.0,0.0,0.0,3934.624805,5.790181,Carter,108.856624,0.0,0.0,-0.0,-0.0,309_WIND_1,0.908333,0.0,0.0,-0.0,0.0,0.006124971903798607,0.0
