sim_id,battery_energy_capacity,battery_pmax,n_scenario,participation_mode,reserve_factor,wind_pmax
0,40.0,10.0,3,Bid,0.0,50.0
1,40.0,10.0,3,SelfSchedule,0.0,50.0
2,40.0,10.0,5,Bid,0.0,50.0
3,40.0,10.0,5,SelfSchedule,0.0,50.0
4,40.0,10.0,8,Bid,0.0,50.0
5,40.0,10.0,8,SelfSchedule,0.0,50.0
6,40.0,10.0,10,Bid,0.0,50.0
7,40.0,10.0,10,SelfSchedule,0.0,50.0
8,80.0,20.0,3,Bid,0.0,50.0
9,80.0,20.0,3,SelfSchedule,0.0,50.0
10,80.0,20.0,5,Bid,0.0,50.0
11,80.0,20.0,5,SelfSchedule,0.0,50.0
12,80.0,20.0,8,Bid,0.0,50.0
13,80.0,20.0,8,SelfSchedule,0.0,50.0
14,80.0,20.0,10,Bid,0.0,50.0
15,80.0,20.0,10,SelfSchedule,0.0,50.0
16,120.0,30.0,3,Bid,0.0,50.0
17,120.0,30.0,3,SelfSchedule,0.0,50.0
18,120.0,30.0,5,Bid,0.0,50.0
19,120.0,30.0,5,SelfSchedule,0.0,50.0
20,120.0,30.0,8,Bid,0.0,50.0
21,120.0,30.0,8,SelfSchedule,0.0,50.0
22,120.0,30.0,10,Bid,0.0,50.0
23,120.0,30.0,10,SelfSchedule,0.0,50.0
24,160.0,40.0,3,Bid,0.0,50.0
25,160.0,40.0,3,SelfSchedule,0.0,50.0
26,160.0,40.0,5,Bid,0.0,50.0
27,160.0,40.0,5,SelfSchedule,0.0,50.0
28,160.0,40.0,8,Bid,0.0,50.0
29,160.0,40.0,8,SelfSchedule,0.0,50.0
30,160.0,40.0,10,Bid,0.0,50.0
31,160.0,40.0,10,SelfSchedule,0.0,50.0
32,200.0,50.0,3,Bid,0.0,50.0
33,200.0,50.0,3,SelfSchedule,0.0,50.0
34,200.0,50.0,5,Bid,0.0,50.0
35,200.0,50.0,5,SelfSchedule,0.0,50.0
36,200.0,50.0,8,Bid,0.0,50.0
37,200.0,50.0,8,SelfSchedule,0.0,50.0
38,200.0,50.0,10,Bid,0.0,50.0
39,200.0,50.0,10,SelfSchedule,0.0,50.0
40,80.0,20.0,3,Bid,0.0,100.0
41,80.0,20.0,3,SelfSchedule,0.0,100.0
42,80.0,20.0,5,Bid,0.0,100.0
43,80.0,20.0,5,SelfSchedule,0.0,100.0
44,80.0,20.0,8,Bid,0.0,100.0
45,80.0,20.0,8,SelfSchedule,0.0,100.0
46,80.0,20.0,10,Bid,0.0,100.0
47,80.0,20.0,10,SelfSchedule,0.0,100.0
48,160.0,40.0,3,Bid,0.0,100.0
49,160.0,40.0,3,SelfSchedule,0.0,100.0
50,160.0,40.0,5,Bid,0.0,100.0
51,160.0,40.0,5,SelfSchedule,0.0,100.0
52,160.0,40.0,8,Bid,0.0,100.0
53,160.0,40.0,8,SelfSchedule,0.0,100.0
54,160.0,40.0,10,Bid,0.0,100.0
55,160.0,40.0,10,SelfSchedule,0.0,100.0
56,240.0,60.0,3,Bid,0.0,100.0
57,240.0,60.0,3,SelfSchedule,0.0,100.0
58,240.0,60.0,5,Bid,0.0,100.0
59,240.0,60.0,5,SelfSchedule,0.0,100.0
60,240.0,60.0,8,Bid,0.0,100.0
61,240.0,60.0,8,SelfSchedule,0.0,100.0
62,240.0,60.0,10,Bid,0.0,100.0
63,240.0,60.0,10,SelfSchedule,0.0,100.0
64,320.0,80.0,3,Bid,0.0,100.0
65,320.0,80.0,3,SelfSchedule,0.0,100.0
66,320.0,80.0,5,Bid,0.0,100.0
67,320.0,80.0,5,SelfSchedule,0.0,100.0
68,320.0,80.0,8,Bid,0.0,100.0
69,320.0,80.0,8,SelfSchedule,0.0,100.0
70,320.0,80.0,10,Bid,0.0,100.0
71,320.0,80.0,10,SelfSchedule,0.0,100.0
72,400.0,100.0,3,Bid,0.0,100.0
73,400.0,100.0,3,SelfSchedule,0.0,100.0
74,400.0,100.0,5,Bid,0.0,100.0
75,400.0,100.0,5,SelfSchedule,0.0,100.0
76,400.0,100.0,8,Bid,0.0,100.0
77,400.0,100.0,8,SelfSchedule,0.0,100.0
78,400.0,100.0,10,Bid,0.0,100.0
79,400.0,100.0,10,SelfSchedule,0.0,100.0
80,120.0,30.0,3,Bid,0.0,150.0
81,120.0,30.0,3,SelfSchedule,0.0,150.0
82,120.0,30.0,5,Bid,0.0,150.0
83,120.0,30.0,5,SelfSchedule,0.0,150.0
84,120.0,30.0,8,Bid,0.0,150.0
85,120.0,30.0,8,SelfSchedule,0.0,150.0
86,120.0,30.0,10,Bid,0.0,150.0
87,120.0,30.0,10,SelfSchedule,0.0,150.0
88,240.0,60.0,3,Bid,0.0,150.0
89,240.0,60.0,3,SelfSchedule,0.0,150.0
90,240.0,60.0,5,Bid,0.0,150.0
91,240.0,60.0,5,SelfSchedule,0.0,150.0
92,240.0,60.0,8,Bid,0.0,150.0
93,240.0,60.0,8,SelfSchedule,0.0,150.0
94,240.0,60.0,10,Bid,0.0,150.0
95,240.0,60.0,10,SelfSchedule,0.0,150.0
