sim_id,Dispatch,Dispatch DA,Revenue DA,Revenue RT,Total Revenue
0,44495.16849499996,30752.160484000033,1124898.8873978197,25490692.509184785,26615591.39658265
1,86558.09401599996,44316.73955699999,1152740.0852258345,22471749.50486611,23624489.590091895
2,45145.72460300001,33993.10080700003,1329293.3923049828,22392361.138568435,23721654.530873407
3,90267.17588600007,39739.84850700007,989617.9430117296,24525741.21490349,25515359.15791519
4,47562.54623399999,35509.17267099997,1229186.25898351,22525758.886185378,23754945.145168833
5,92937.65720299982,34488.30294599999,804792.957647288,24648131.375786815,25452924.333434116
6,48329.92069400007,35086.06040600002,1226254.0869916424,21740498.41698159,22966752.50397322
7,92371.569332,31687.50520999999,822418.8898750108,26066655.175685037,26889074.065560088
8,41193.153766999974,29397.224679000003,1059497.3680112204,24613398.652057696,25672896.020068865
9,77647.25145799998,42375.55939399999,1201879.2563021062,21737414.558316976,22939293.814619157
10,42684.257878000055,32797.22258200001,1244643.221680616,23665863.705770276,24910506.92745087
11,79497.34574600004,37736.32202800007,1123461.7616714505,24130473.631358318,25253935.393029768
12,45449.56980999999,35226.96720200003,1381960.041613201,23983100.97614896,25365061.017762188
13,79676.43356900003,31119.340061000003,763549.0461749288,25355728.775126603,26119277.82130158
14,44953.530843000015,34698.03265600001,1303672.69306246,21878873.98810561,23182546.681168064
15,78961.70208099992,28643.656099999997,669232.3274075835,24048781.972058754,24718014.29946634
16,40840.28625500005,29277.968315000013,1325736.0021591936,22614320.6695493,23940056.671708565
17,69684.38367200003,39243.47650100001,1132281.599768541,15158697.553952476,16290979.153721005
18,42449.09589099999,32857.769103,1367131.8691105896,20800153.149663616,22167285.018774204
19,70815.06372800014,34757.454594000024,1011490.4170557956,18078571.45110226,19090061.868158083
20,42868.59078999999,33190.05355000002,1447905.4797236621,22772395.67809748,24220301.157821156
21,69972.148571,28553.04529100004,677784.7593972663,22457041.624023378,23134826.383420646
22,43617.879342,33559.660994999984,1350795.3232367854,20923943.82783073,22274739.15106754
23,68605.08669499993,24919.952721000005,581227.7149268104,24167359.839152504,24748587.55407931
24,42347.47608899996,29450.158390999994,1245964.8330455672,24334297.28773691,25580262.12078251
25,65062.16749899992,38500.36682000004,1189979.0781171552,17393899.991359707,18583879.06947683
26,41586.273726000036,31260.027428000016,1472812.792809008,20761719.21259776,22234532.00540681
27,64738.491146000015,30221.81836500001,874759.3891687157,21963227.53971467,22837986.928883404
28,43197.626594999965,33196.01859499997,1475040.240709462,19820006.967466217,21295047.208175708
29,62598.27826999986,24640.769779,799244.380617361,20173536.018361088,20972780.39897845
30,43969.627989999964,34549.147527000016,1472095.6086285538,19340510.799778238,20812606.408406813
31,59657.24030699998,21956.29359999999,554675.9567916269,21654915.245287128,22209591.20207883
32,44800.09390900004,30232.92705399999,1236314.5558140154,27304227.659238853,28540542.215052903
33,65719.75021700001,35947.250556000006,1038364.3838189536,13821053.73794627,14859418.121765219
34,47175.60250000003,34039.255846999964,1691409.9288768289,15514520.651696974,17205930.58057381
35,63433.00793200002,28184.912475000016,812197.8926550357,19507684.73486382,20319882.62751889
36,45871.1527890001,33171.45146299999,1387154.7621931136,22334009.07464461,23721163.836837787
37,59527.965958999936,21918.89809999999,559250.2909445892,18967808.769342277,19527059.06028686
38,46163.807257000095,34915.997565999955,1574208.2683117879,18792904.493733708,20367112.76204552
39,60463.30831699992,19788.47419999997,508495.7640831105,25283360.452742327,25791856.21682549
40,85452.20989399987,59563.55397800004,2095613.9980386451,44718685.10098722,46814299.09902582
41,171510.27971499992,93319.59142099989,2350727.798407225,34408488.60769968,36759216.4061069
42,91354.1212469997,64578.85074800004,2233913.5883137994,36020071.08071181,38253984.66902573
43,180354.91955400055,82841.60426899994,1927965.6866359874,38322710.40283844,40250676.089474425
44,94420.6313139999,69621.0131349999,2511297.1808856013,36446375.779067636,38957672.959953174
45,181962.51444699997,71967.35139200006,1577674.9514626055,39547050.14655604,41124725.09801871
46,96165.59073599997,71090.86544699997,2440204.489032661,46746017.045325845,49186221.5343585
47,184342.26845199996,70450.49185599994,1567525.3633997112,43838910.717951216,45406436.08135093
48,85832.03480299994,62771.59244,2355337.2795809386,33405322.999780387,35760660.27936136
49,154240.18468099964,89507.57977199992,2287302.40710134,30486135.357239522,32773437.764340896
50,89885.64899499994,64632.19994999993,2444660.932399927,40840296.95351559,43284957.88591552
51,158001.52641299984,76474.95239800008,1848592.7210075958,34437157.82494993,36285750.54595751
52,87689.44027799992,67648.04032699997,2862324.226022152,42116554.74876394,44978878.97478605
53,158277.32557100023,63853.22207500004,1511449.9679485564,36901194.14355651,38412644.111505054
54,89830.23424100009,66726.42492399996,2472453.059209629,39714054.00376737,42186507.062977135
55,155411.6429170002,57144.10150800002,1224093.8933807965,41338993.026305705,42563086.9196864
56,82105.34600599996,58298.76655399999,2328030.253268013,45680551.57207968,48008581.825347595
57,139366.78834100015,83240.11977999996,2230138.234222955,30226523.23701082,32456661.471233755
58,85067.18808099985,67272.79708699993,2385742.3341620914,38192160.08266231,40577902.41682443
59,141687.21257500007,70010.83439199998,1707977.5113631873,33585635.75994919,35293613.27131239
60,85652.01737799989,64224.723468000026,2692548.1100762663,37788643.576476336,40481191.68655265
61,138294.78406900016,55075.46994500004,1341983.994387704,32048454.87512838,33390438.869516037
62,85808.49833499998,67421.29991800012,2771726.32998602,40449184.826809704,43220911.15679576
63,136293.95091200017,50678.41070900002,1179976.9762957273,39524294.35668831,40704271.332984015
64,80598.165073,56263.469573999966,2134016.5968682845,34566699.87367964,36700716.47054799
65,130147.3182830003,76626.42598499998,1955381.5535108992,20407392.73806446,22362774.29157536
66,86133.7379420001,63381.54959899996,2560065.4939928856,32656939.255423974,35217004.7494168
67,127814.95212100026,65898.44818200005,1606426.0546819917,21932876.85949326,23539302.914175283
68,84055.96528900015,65011.079984999895,2560070.4502736786,42238558.75176134,44798629.20203509
69,125295.66811400009,50624.04076400002,1184254.5738293708,30666271.59247745,31850526.166306883
70,85331.44461499999,65375.05119300003,2568313.853775098,38650250.8382508,41218564.69202587
71,121929.94386300014,45090.407515999985,1017114.566829196,31209985.73475209,32227100.30158131
