"Eastern Date Hour","Gen Name","Gen PTID","DAM Gen LBMP","DAM Gen Losses","DAM Gen Congestion","DAM Gen Price Version"
"2020/01/01 00:00:00","GINNA____","23603","7.52","-0.35","-1.28","1"
"2020/01/01 00:00:00","INDIAN POINT___2","23530","17.71","0.47","-10.65","1"
"2020/01/01 00:00:00","INDIAN POINT___3","23531","17.85","0.47","-10.79","1"
"2020/01/01 00:00:00","NINE_MILE_1","23575","7.13","-0.15","-0.69","1"
"2020/01/01 00:00:00","NINE_MILE_2","23744","7.12","-0.15","-0.69","1"
"2020/01/01 01:00:00","GINNA____","23603","6.79","-0.32","-1.16","1"
"2020/01/01 01:00:00","INDIAN POINT___2","23530","16.02","0.42","-9.64","1"
"2020/01/01 01:00:00","INDIAN POINT___3","23531","16.14","0.42","-9.77","1"
"2020/01/01 01:00:00","NINE_MILE_1","23575","6.43","-0.14","-0.62","1"
"2020/01/01 01:00:00","NINE_MILE_2","23744","6.43","-0.14","-0.62","1"
"2020/01/01 02:00:00","GINNA____","23603","6.63","-0.32","-1.01","1"
"2020/01/01 02:00:00","INDIAN POINT___2","23530","14.76","0.41","-8.41","1"
"2020/01/01 02:00:00","INDIAN POINT___3","23531","14.86","0.4","-8.52","1"
"2020/01/01 02:00:00","NINE_MILE_1","23575","6.34","-0.14","-0.54","1"
"2020/01/01 02:00:00","NINE_MILE_2","23744","6.34","-0.14","-0.54","1"
"2020/01/01 03:00:00","GINNA____","23603","6.37","-0.3","-0.95","1"
"2020/01/01 03:00:00","INDIAN POINT___2","23530","14.04","0.39","-7.93","1"
"2020/01/01 03:00:00","INDIAN POINT___3","23531","14.14","0.38","-8.04","1"
"2020/01/01 03:00:00","NINE_MILE_1","23575","6.1","-0.14","-0.51","1"
"2020/01/01 03:00:00","NINE_MILE_2","23744","6.1","-0.14","-0.51","1"
"2020/01/01 04:00:00","GINNA____","23603","6.01","-0.27","-1.05","1"
"2020/01/01 04:00:00","INDIAN POINT___2","23530","14.26","0.34","-8.69","1"
"2020/01/01 04:00:00","INDIAN POINT___3","23531","14.37","0.34","-8.81","1"
"2020/01/01 04:00:00","NINE_MILE_1","23575","5.67","-0.12","-0.56","1"
"2020/01/01 04:00:00","NINE_MILE_2","23744","5.67","-0.12","-0.56","1"
"2020/01/01 05:00:00","GINNA____","23603","6.54","-0.3","-1.11","1"
"2020/01/01 05:00:00","INDIAN POINT___2","23530","15.31","0.38","-9.2","1"
"2020/01/01 05:00:00","INDIAN POINT___3","23531","15.44","0.38","-9.33","1"
"2020/01/01 05:00:00","NINE_MILE_1","23575","6.2","-0.13","-0.59","1"
"2020/01/01 05:00:00","NINE_MILE_2","23744","6.2","-0.13","-0.59","1"
"2020/01/01 06:00:00","GINNA____","23603","5.17","-0.22","-1.5","1"
"2020/01/01 06:00:00","INDIAN POINT___2","23530","16.63","0.26","-12.48","1"
"2020/01/01 06:00:00","INDIAN POINT___3","23531","16.79","0.26","-12.65","1"
"2020/01/01 06:00:00","NINE_MILE_1","23575","4.6","-0.09","-0.81","1"
"2020/01/01 06:00:00","NINE_MILE_2","23744","4.6","-0.09","-0.8","1"
"2020/01/01 07:00:00","GINNA____","23603","8.74","-0.45","-0.93","1"
"2020/01/01 07:00:00","INDIAN POINT___2","23530","16.61","0.59","-7.76","1"
"2020/01/01 07:00:00","INDIAN POINT___3","23531","16.7","0.59","-7.86","1"
"2020/01/01 07:00:00","NINE_MILE_1","23575","8.56","-0.2","-0.5","1"
"2020/01/01 07:00:00","NINE_MILE_2","23744","8.56","-0.2","-0.5","1"
"2020/01/01 08:00:00","GINNA____","23603","12.09","-0.83","-0.52","1"
"2020/01/01 08:00:00","INDIAN POINT___2","23530","17.76","1.05","-4.3","1"
"2020/01/01 08:00:00","INDIAN POINT___3","23531","17.8","1.04","-4.36","1"
"2020/01/01 08:00:00","NINE_MILE_1","23575","12.33","-0.35","-0.28","1"
"2020/01/01 08:00:00","NINE_MILE_2","23744","12.33","-0.35","-0.28","1"
"2020/01/01 09:00:00","GINNA____","23603","13.15","-0.86","-0.51","1"
"2020/01/01 09:00:00","INDIAN POINT___2","23530","18.9","1.15","-4.24","1"
"2020/01/01 09:00:00","INDIAN POINT___3","23531","18.94","1.13","-4.3","1"
"2020/01/01 09:00:00","NINE_MILE_1","23575","13.4","-0.38","-0.27","1"
"2020/01/01 09:00:00","NINE_MILE_2","23744","13.42","-0.36","-0.27","1"
"2020/01/01 10:00:00","GINNA____","23603","12.07","-0.73","-0.59","1"
"2020/01/01 10:00:00","INDIAN POINT___2","23530","18.11","1.03","-4.87","1"
"2020/01/01 10:00:00","INDIAN POINT___3","23531","18.17","1.01","-4.94","1"
"2020/01/01 10:00:00","NINE_MILE_1","23575","12.2","-0.33","-0.31","1"
"2020/01/01 10:00:00","NINE_MILE_2","23744","12.2","-0.33","-0.31","1"
"2020/01/01 11:00:00","GINNA____","23603","12.06","-0.73","-0.55","1"
"2020/01/01 11:00:00","INDIAN POINT___2","23530","17.88","1.03","-4.6","1"
"2020/01/01 11:00:00","INDIAN POINT___3","23531","17.94","1.03","-4.66","1"
"2020/01/01 11:00:00","NINE_MILE_1","23575","12.21","-0.33","-0.3","1"
"2020/01/01 11:00:00","NINE_MILE_2","23744","12.21","-0.33","-0.3","1"
"2020/01/01 12:00:00","GINNA____","23603","12.06","-0.74","-0.54","1"
"2020/01/01 12:00:00","INDIAN POINT___2","23530","17.73","1.03","-4.45","1"
"2020/01/01 12:00:00","INDIAN POINT___3","23531","17.79","1.03","-4.51","1"
"2020/01/01 12:00:00","NINE_MILE_1","23575","12.21","-0.33","-0.29","1"
"2020/01/01 12:00:00","NINE_MILE_2","23744","12.21","-0.33","-0.29","1"
"2020/01/01 13:00:00","GINNA____","23603","11.31","-0.66","-0.67","1"
"2020/01/01 13:00:00","INDIAN POINT___2","23530","17.8","0.91","-5.59","1"
"2020/01/01 13:00:00","INDIAN POINT___3","23531","17.87","0.91","-5.67","1"
"2020/01/01 13:00:00","NINE_MILE_1","23575","11.36","-0.29","-0.36","1"
"2020/01/01 13:00:00","NINE_MILE_2","23744","11.36","-0.29","-0.36","1"
"2020/01/01 14:00:00","GINNA____","23603","10.94","-0.63","-0.79","1"
"2020/01/01 14:00:00","INDIAN POINT___2","23530","18.22","0.88","-6.56","1"
"2020/01/01 14:00:00","INDIAN POINT___3","23531","18.3","0.87","-6.65","1"
"2020/01/01 14:00:00","NINE_MILE_1","23575","10.92","-0.28","-0.42","1"
"2020/01/01 14:00:00","NINE_MILE_2","23744","10.92","-0.28","-0.42","1"
"2020/01/01 15:00:00","GINNA____","23603","11.97","-0.68","-0.73","1"
"2020/01/01 15:00:00","INDIAN POINT___2","23530","18.93","0.97","-6.03","1"
"2020/01/01 15:00:00","INDIAN POINT___3","23531","19.01","0.97","-6.12","1"
"2020/01/01 15:00:00","NINE_MILE_1","23575","12.01","-0.31","-0.39","1"
"2020/01/01 15:00:00","NINE_MILE_2","23744","12.01","-0.31","-0.39","1"
"2020/01/01 16:00:00","GINNA____","23603","14.49","-0.88","-0.75","1"
"2020/01/01 16:00:00","INDIAN POINT___2","23530","22.13","1.3","-6.2","1"
"2020/01/01 16:00:00","INDIAN POINT___3","23531","22.2","1.29","-6.29","1"
"2020/01/01 16:00:00","NINE_MILE_1","23575","14.65","-0.38","-0.4","1"
"2020/01/01 16:00:00","NINE_MILE_2","23744","14.64","-0.38","-0.4","1"
"2020/01/01 17:00:00","GINNA____","23603","15.85","-0.78","-1.29","1"
"2020/01/01 17:00:00","INDIAN POINT___2","23530","27.44","1.35","-10.75","1"
"2020/01/01 17:00:00","INDIAN POINT___3","23531","27.59","1.35","-10.9","1"
"2020/01/01 17:00:00","NINE_MILE_1","23575","15.68","-0.35","-0.69","1"
"2020/01/01 17:00:00","NINE_MILE_2","23744","15.68","-0.35","-0.69","1"
"2020/01/01 18:00:00","GINNA____","23603","15.53","-0.86","-1.06","1"
"2020/01/01 18:00:00","INDIAN POINT___2","23530","25.51","1.36","-8.82","1"
"2020/01/01 18:00:00","INDIAN POINT___3","23531","25.63","1.36","-8.94","1"
"2020/01/01 18:00:00","NINE_MILE_1","23575","15.53","-0.37","-0.57","1"
"2020/01/01 18:00:00","NINE_MILE_2","23744","15.53","-0.37","-0.57","1"
"2020/01/01 19:00:00","GINNA____","23603","15.26","-0.87","-0.82","1"
"2020/01/01 19:00:00","INDIAN POINT___2","23530","23.46","1.32","-6.84","1"
"2020/01/01 19:00:00","INDIAN POINT___3","23531","23.55","1.32","-6.93","1"
"2020/01/01 19:00:00","NINE_MILE_1","23575","15.38","-0.37","-0.44","1"
"2020/01/01 19:00:00","NINE_MILE_2","23744","15.38","-0.37","-0.44","1"
"2020/01/01 20:00:00","GINNA____","23603","14.53","-0.84","-0.7","1"
"2020/01/01 20:00:00","INDIAN POINT___2","23530","21.74","1.29","-5.78","1"
"2020/01/01 20:00:00","INDIAN POINT___3","23531","21.8","1.28","-5.86","1"
"2020/01/01 20:00:00","NINE_MILE_1","23575","14.68","-0.37","-0.37","1"
"2020/01/01 20:00:00","NINE_MILE_2","23744","14.68","-0.37","-0.37","1"
"2020/01/01 21:00:00","GINNA____","23603","14.29","-0.92","-0.57","1"
"2020/01/01 21:00:00","INDIAN POINT___2","23530","20.65","1.24","-4.77","1"
"2020/01/01 21:00:00","INDIAN POINT___3","23531","20.7","1.23","-4.83","1"
"2020/01/01 21:00:00","NINE_MILE_1","23575","14.57","-0.38","-0.31","1"
"2020/01/01 21:00:00","NINE_MILE_2","23744","14.57","-0.38","-0.31","1"
"2020/01/01 22:00:00","GINNA____","23603","11.3","-0.69","-0.85","1"
"2020/01/01 22:00:00","INDIAN POINT___2","23530","19.08","0.87","-7.07","1"
"2020/01/01 22:00:00","INDIAN POINT___3","23531","19.17","0.87","-7.16","1"
"2020/01/01 22:00:00","NINE_MILE_1","23575","11.32","-0.28","-0.46","1"
"2020/01/01 22:00:00","NINE_MILE_2","23744","11.32","-0.28","-0.46","1"
"2020/01/01 23:00:00","GINNA____","23603","8.11","-0.43","-1.23","1"
"2020/01/01 23:00:00","INDIAN POINT___2","23530","18.08","0.56","-10.22","1"
"2020/01/01 23:00:00","INDIAN POINT___3","23531","18.21","0.55","-10.36","1"
"2020/01/01 23:00:00","NINE_MILE_1","23575","7.79","-0.18","-0.66","1"
"2020/01/01 23:00:00","NINE_MILE_2","23744","7.79","-0.18","-0.66","1"
"2020/01/02 00:00:00","GINNA____","23603","6.35","-0.26","-1.48","1"
"2020/01/02 00:00:00","INDIAN POINT___2","23530","17.76","0.35","-12.29","1"
"2020/01/02 00:00:00","INDIAN POINT___3","23531","17.93","0.35","-12.45","1"
"2020/01/02 00:00:00","NINE_MILE_1","23575","5.8","-0.11","-0.79","1"
"2020/01/02 00:00:00","NINE_MILE_2","23744","5.8","-0.11","-0.79","1"
"2020/01/02 01:00:00","GINNA____","23603","6.1","-0.28","-1.26","1"
"2020/01/02 01:00:00","INDIAN POINT___2","23530","15.94","0.33","-10.5","1"
"2020/01/02 01:00:00","INDIAN POINT___3","23531","16.08","0.33","-10.64","1"
"2020/01/02 01:00:00","NINE_MILE_1","23575","5.67","-0.12","-0.68","1"
"2020/01/02 01:00:00","NINE_MILE_2","23744","5.67","-0.12","-0.68","1"
"2020/01/02 02:00:00","GINNA____","23603","6.01","-0.29","-1.2","1"
"2020/01/02 02:00:00","INDIAN POINT___2","23530","15.38","0.32","-9.95","1"
"2020/01/02 02:00:00","INDIAN POINT___3","23531","15.51","0.32","-10.08","1"
"2020/01/02 02:00:00","NINE_MILE_1","23575","5.63","-0.12","-0.64","1"
"2020/01/02 02:00:00","NINE_MILE_2","23744","5.63","-0.12","-0.64","1"
"2020/01/02 03:00:00","GINNA____","23603","5.91","-0.29","-1.1","1"
"2020/01/02 03:00:00","INDIAN POINT___2","23530","14.53","0.32","-9.11","1"
